Vertices,Logitude,Latitude
V01,-50.444595,-30.073995
V02,-50.451748,-29.872004
V03,-50.454219,-29.848573
V04,-50.456345,-29.792798
V05,-50.510567,-29.754908
V06,-50.549609,-29.728492
V07,-50.563331,-29.699048
V08,-50.581647,-29.695237
V09,-50.635261,-29.634779
V10,-50.625966,-29.574732
V11,-50.590851,-29.489903
V12,-50.604517,-29.4514
V13,-50.578367,-29.388712
V14,-50.511219,-29.266103
V15,-50.508601,-29.163229
V16,-50.394564,-28.952794
V17,-50.134331,-28.897376
V18,-49.951627,-28.883842
V19,-49.916569,-28.863364
V20,-49.79275,-28.794054
V21,-49.524318,-28.634064
V22,-49.515007,-28.616492
V23,-49.499152,-28.603919
V24,-49.48142,-28.59502
V25,-49.44866,-28.559882
V26,-49.438988,-28.551309
V27,-49.424618,-28.548432
V28,-49.411193,-28.548239
V29,-49.409587,-28.554036
